"Arrabbiata sauce";"http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Penne_all'arrabbiata.jpg/200px-Penne_all'arrabbiata.jpg";"Sugo all'arrabbiata arrabbiato means angry in Italian—the name of the sauce is due to the heat of the chili peppers is a sauce for pasta made from garlic, tomatoes, and red chili peppers cooked in olive oil. The dish is usually served with penne, and may have chopped fresh parsley sprinkled on top.";"Garlic,Garlic raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Olive oil,Peppers, hot chili, red, raw"
"Salmorejo";"http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Salmorejo_4.jpg/200px-Salmorejo_4.jpg";"Salmorejo is a soup consisting of tomato and bread, originating from Cordoba in Andalusia, south Spain. It is made from tomatoes, bread, oil, garlic and vinegar. Normally, the tomatoes are skinned and then puréed with the other ingredients. The soup is served cold and garnished with diced Spanish Serrano ham and diced hardboiled eggs. It has a pinkorange appearance like gazpacho, but salmorejo is much thicker, because it includes more bread. In Andalusia it is known by several other names, including ardoria and porra. Several variations exist in Andalucia the following recipe is representative of the type of salmorejo served in any bar or home. Salmorejo is also the name given to a marinade typical of Canary Islands cuisine. It is used to flavour meat before cooking, especially rabbit conejo en salmorejo which is a speciality of the islands. Typical marinade ingredients include salt, garlic, paprika and hot peppers.";"Bread,Bread, white,Bread, wholewheat,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Spaghetti alla Puttanesca";"http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spaghettiniphoto.jpg/200px-Spaghettiniphoto.jpg";"Spaghetti alla puttanesca literally whore's style spaghetti in Italian is a tangy, somewhat salty Italian pasta dish invented in the mid20th century. The ingredients are typical of Southern Italian cuisine tomatoes, olive oil, olives, capers, and garlic.";"Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Anchovies,Spaghetti,Olea europaea,Olive Tree,Caper,Capparis spinosa,Capers, prepared"
"Tabbouleh";"http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flickr_-_cyclonebill_-_Tabbouleh.jpg/200px-Flickr_-_cyclonebill_-_Tabbouleh.jpg";"Tabbouleh is a Levantine Arab salad traditionally made of bulgur, tomatoes, cucumbers, finely chopped parsley, mint, onion and garlic, and seasoned with olive oil, lemon juice and salt, although there are various other variations such as using couscous instead of bulgur. Traditionally served as part of a mezze in the Arab world, it was adopted by Cypriots, variations of it are made by Turks and Armenians, and it has become a popular ethnic food in Western cultures.";"Parsley,Parsley, fresh,Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Seven layer dip";"http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Seven_layer_dip.jpg/200px-Seven_layer_dip.jpg";"Seven layer dip is the name of an American appetizer based on common ingredients in TexMex cuisine. The dish typically includes Refried beans Guacamole Sour cream Picante salsa, pico de gallo or chopped tomatoes Grated Cheddar cheese, Monterey Jack cheese or a blend of both Black olives Layer may be one of many items, such as cooked ground beef, shredded lettuce for texture, sliced green onion or jalapeño chiles for additional spiciness. The dish is often chilled before serving, and is served with tortilla chips.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Guacamole,Olea europaea,Olive Tree,Salsa"
"Panbagnat";"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pan-bagnat_1.jpg/200px-Pan-bagnat_1.jpg";"The Panbagnat Occitan pan banhat for bathedwet bread is a sandwich that is a specialty of the region of Nice, France. The sandwich is composed of pain de campagne, whole wheat bread formed in a circle, although white bread is also sometimes used, around the classic Salade Nioise, a salad composed mainly of raw vegetables, hard boiled eggs, anchovies andor tuna, and olive oil never mayonnaise. Sometimes balsamic vinegar, ground pepper, and salt will also be added. The name of the sandwich comes from the local Provenal language, Niard, in which panbanhat and the alternative spelling panbagnat mean bathedwet bread. It is often misspelled pain bagnat, with the French pain rather that genuine local pan. The panbagnat is a popular lunchtime dish in the region around Nice where it is sold in most bakeries and markets. Panbagnat and the salade nioise salade nissardo, along with ratatouille La Ratatouia Nissardo in Provenal, socca and pissaladière are strongly linked to the city of Nice, where they have been developed over time out of local ingredients.";"Pain de campagne,White bread,Tomato,Solanum lycopersicum,Red tomatoes, raw,Anchovies,Chicken egg,whole, hardboiled,Olive oil,Olea europaea,Olive Tree,Onion,Raw Onions,Salad Nioise"
"Chana Masala";"http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Choleindia.jpg/200px-Choleindia.jpg";"Chana masala, also known as chole masala or channay plural is a popular Punjabi dish in Pakistani and Indian cuisine. The main ingredient is chickpeas called chana in Hindustani. It is fairly dry and spicy with a sour citrus note.";"Coriander,Coriander  leaves, raw,Ginger root,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Chickpea,Chickpeas, mature seeds, cooked no salt,Onion,Raw Onions,Peppers, hot chili, red, raw"
"Marinara sauce";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Ravioli_Marinara.jpg/200px-Ravioli_Marinara.jpg";"Marinara mariner's sauce is a southern Italian tomato sauce usually made with tomatoes, garlic, herbs, and onions. Its many variations can include the addition of capers, olives and spices. Traditional southern Italian cuisine uses this sauce to add flavor to pasta, rice, seafood and pizza. This sauce is also widely used in ItalianAmerican cuisine, which has diverged significantly from its Old World origins. Italians refer to marinara sauce only in association with other recipes. For instance, spaghetti alla marinara literally translates to spaghetti mariner's style from the adjective marinara with the feminine suffix a pertaining to salsa, Italian for sauce, but tomato sauce alone in Italy is called sugosalsa aldi pomodoro or pomarola. Outside of the US, this is referred to as Neapolitan sauce or Napoli sauce, and Marinara sauce refers to a sauce containing seafood.";"Basil,Basil, fresh,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Onion,Raw Onions"
"Rasam";"http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Rasam_(closeup).jpg/200px-Rasam_(closeup).jpg";"Rasam or Saaru, Kannadaಸಾರು Saaru, is a South Indian soup, traditionally prepared using tamarind juice as a base, with the addition of tomato, and chili pepper, pepper, cumin and other spices as seasonings. Steamed lentils are added along with any preferred vegetables. Nowadays all the seasonings required are combined and ground beforehand into a rasam powder, which is available commercially. It is eaten with rice or separately as soup. In a traditional meal, it is preceded by a sambar rice course and is followed by curd rice. Rasam has a distinct taste in comparison to the sambar due to its own seasoning ingredients and is usually fluid in consistency.";"Lentil,Lentils, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Tamarind,Tamarind, raw"
"Minestrone";"http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/MinestroneSoup.jpg/200px-MinestroneSoup.jpg";"Minestrone is a thick soup of Italian origin made with vegetables, often with the addition of pasta or rice. Common ingredients include beans, onions, celery, carrots, stock, and tomatoes. There is no set recipe for minestrone, since it is usually made out of whatever vegetables are in season. It can be vegetarian, contain meat, or contain a meatbased broth. Angelo Pellegrini, however, argued that the base of minestrone is bean broth, and that Roman beans also called Borlotti beans are the beans to use for genuine minestrone. Minestrone is one of the cornerstones of Italian cuisine, and is almost as common as pasta on Italian tables.";"Celery,Celery, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Carrot,Carrots, raw,Onion,Raw Onions,Pasta"
"Tomato and egg soup";"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Tomato_and_egg_soup2.jpg/200px-Tomato_and_egg_soup2.jpg";"Tomato and egg soup is a dish from China consisting mainly of tomato and egg. It is a relatively easy soup to make, and as such is one of the most popular soups in households. This soup is also high in nutritional value as it contains lycopene from the tomatoes. Lycopene can reduce the possibility of cancer. Normally, the soup is made from coarsely chopped tomatoes, and green onions chopped to pieces of about of 0.5 cm. A half a litre of water is used in this soup, and a small amount of oil. Eggs are added toward the end of this dish, and stirred in for only about 3 minutes. It is normally covered for 2 minutes, and then served when the egg has set. This soup is also sometimes made with the tomato skin removed, and is sometimes cooked for a longer time.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Scallion,Chicken egg,whole, hardboiled"
"Saltah";"http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Saltah.gif/200px-Saltah.gif";"Saltah is considered the national dish, and widely eaten in Yemen. It is mainly served for lunch. The base is a brown meat stew called maraq, a dollop of fenugreek froth, and sahawiq or sahowqa. Rice, potatoes, scrambled eggs, and vegetables are common additions to saltah. It is eaten traditionally with Yemeni flat bread, which serves as a utensil to scoop up the food. It is believed that saltah originated in Sana'a and its history dates back 1,000 years.";"Fenugreek,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Canh chua";"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Canhchua2.jpg/200px-Canhchua2.jpg";"Canh chua literally sour soup is a sour soup indigenous to the Mekong Delta region of southern Vietnam. It is typically made with fish from the Mekong River Delta, pineapple, tomatoes and sometimes also other vegetables such as okra or bạc hà, and bean sprouts, in a tamarindflavored broth. It is garnished with the lemonyscented herb ngò ôm, caramelized garlic, and chopped scallions, as well as other herbs, according to the specific variety of canh chua these other herbs may include rau răm Vietnamese coriander, ngò gai long coriander, and rau quế. It can be served alone, with white rice, or with rice vermicelli. The sour taste of the soup comes from tamarind, which is mixed with a small amount of hot water the mixture is then stirred for a few moments to release all the essence, and the liquid minus the tamarind seeds and other solids, which are discarded is then added to the soup. When made in style of a hot pot, canh chua is called lẩu canh chua.";"Pineapple,Pineapple, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Fish,Tamarind,Tamarind, raw"
"Tuna pot";"http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Marmitako.JPG/200px-Marmitako.JPG";"Tuna pot, marmitako in Basque Country and marmita, marmite or sorropotún in Cantabria is a fish stew that was eaten on tuna fishing boats in the Cantabrian Sea. Today it is a simple dish with potatoes, onions, pimientos, and tomatoes. The original French word marmite is a metal pot with lid. This French word marmite or the Spanish equivalent marmita gives name to the dish in the East and Central Coast of Cantabria while the Cantabrian word sorropotún is used in the West Coast. Marmitako in Basque language means 'from the pot'. Today it is a popular dish, in part due to the increasing popularity of Basque cuisine, and in part because it is one of the bestknown ways to prepare tuna, a fish that is now widely prized for its nutritional value. There are also varieties of marmitako that substitute salmon for tuna.";"Potato, raw, with skin,Tomato,Solanum lycopersicum,Red tomatoes, raw,Onion,Raw Onions"
"Gazpacho";"http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Gazpacho_con_su_guarnición_-_jlastras.jpg/200px-Gazpacho_con_su_guarnición_-_jlastras.jpg";"Gazpacho is usually a tomatobased, vegetable soup, traditionally served cold, originating in the southern Spanish region of Andalucía. Gazpacho is widely consumed in Spanish cuisine, as well as in neighboring Portugal, where it is known as gaspacho. Gazpacho is mostly consumed during the summer months, due to its refreshing qualities and cold serving temperature.";"Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Chili con carne";"http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Pot-o-chili.jpg/200px-Pot-o-chili.jpg";"Chili con carne chili with meat, more commonly known simply as chili, is a spicy stew containing chili peppers, meat, tomatoes and often beans. Other seasonings may include garlic, onions, and cumin. Variations, both geographic and personal, may involve different types of meat as well as a variety of other ingredients. The variant recipes provoke disputes among aficionados, some of whom insist that the word chili only applies to the basic dish. Chili is a frequent dish for cookoffs. It is also used as an ingredient in a number of other dishes.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Beans, average, canned, sugarfree,Peppers, hot chili, red, raw"
"Chilean completo";"http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Completo_italiano.jpg/200px-Completo_italiano.jpg";"The completo Spanish for complete, total is a hot dog variation eaten in Chile, which is usually served with ingredients such as chopped tomatoes, avocados, mayonnaise, sauerkraut, a variation of the sauce américaine, chilean chili, green sauce and cheese. Its size can be twice of an American hot dog. The multiple combinations of the ingredients of the completo leads to have specific names for the most typical ones, for example Completo Complete Traditional version with chopped tomatoes, mayonnaise a large amount and sauerkraut. Italiano Italian Consists of chopped tomatoes, mashed avocadoes and mayonnaise. The name comes from its resemblance with the colors of the Italian flag. Dinámico Dynamic A mix of the aforementioned ingredients tomatoes, avocados, mayonnaise and sauerkraut or sauce américaine. A lo Pobre Poor Style Consists of fried onion, french fries and a fried egg on top of the hot dog. Tomate mayo Tomatomayo As its name suggests, it a version with only chopped tomatoes and mayonnaise. The completo is also a type of hot dog eaten in Brazil, which has at least mashed potatoes, mayonnaise, ketchup, mustard, corn, peas, tomatoes, onions, Parmesan and fries. Common extra fillings include chicken, cream cheese, ground meat and olives.";"Avocados, raw,Bread,Bread, white,Bread, wholewheat,Tomato,Solanum lycopersicum,Red tomatoes, raw,Sauerkraut"
"Lobster stew";"http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Caldereta.jpg/200px-Caldereta.jpg";"Lobster stew is a Minorcan dish. The lobster is added to a sofrito, onions, tomatoes, garlic and parsley and boiled, and is eaten with thin slices of bread. It is one of the most famous dishes in Minorca and even the King of Spain goes there sometimes only to savour this stew. This dish can only be eaten in spring and summer, since the local lobsters are protected and can only been captured between March and August.";"Garlic,Garlic, raw,American lobster, cooked,Tomato,Solanum lycopersicum,Red tomatoes, raw,Onion,Raw Onions"
"Indian omelette";"http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Masala_egg_omelette_(cropped).jpeg/200px-Masala_egg_omelette_(cropped).jpeg";"An Indian omelette is a version of the omelette found in Indian cuisine. Its main ingredients are eggs, herbs, tomatoes and spices that vary by region. The omelette commonly includes finely chopped green chili peppers and onions, finely chopped fresh green coriander, salt, and jeera. Variations include grated coconut, ground black pepper, curry leaves, and finely chopped tomatoes. Grated cheese may also be added. The egg mixture is whisked until fluffy and then cooked on a skillet. Usually the skillet is not warmed much before the mixture is poured in and it does not immediately solidify. The stove is usually turned on right before the egg is poured in.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Chicken egg,whole, hardboiled,Onion,Raw Onions,Peppers, hot chili, red, raw"
"Chef salad";"http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Chef_Salad.JPG/200px-Chef_Salad.JPG";"Chef salad or chef's salad is a salad consisting of hardboiled eggs one or more meats such as ham, turkey, chicken, or roast beef tomatoes cucumbers and cheese all placed upon a bed of tossed lettuce or other leaf vegetables. Several early recipes also include anchovies. A variety of dressings are used with this salad. Food historians do not agree on the history and composition of chef salad, much less who assembled the first one. Some trace this salad's roots to Salmagundi, a popular meat and salad dish originating in 17th century England and popular in colonial America. Others contend chef's salad is a product of early twentieth century, originating in either New York or California. The person most often connected with the history of this salad is Louis Diat, chef of the RitzCarlton in New York City during the 1940s. While food historians acknowledge his recipe, they do not appear to be convinced he originated the dish, which is more popularly attributed to either chef Victor Seydoux at the Hotel Buffalo, a Statler Hotel in Buffalo, New York or chef Jacques Roser at the Hotel Pennsylvania in New York City. Roser worked in various culinary positions in Paris before being invited to become head chef at the prestigious 1920s Hotel Pennsylvania, where he worked for over fifteen years. Seydoux first learned his craft in Montreux, Switzerland, and continued his studies in France and England before coming to work in the United States. Seydoux's first experiences in the U.S. included positions at the WaldorfAstoria Hotel and the RitzCarlton. Although the origin of the salad is not generally known, as reported by Alice Rose Seydoux, widow of Victor, the salad was officially launched at the Hotel Buffalo. Chef Seydoux, who was responsible for running the kitchen on a tight budget, began using some of the small slices of meats and cheese in a salad that he served to select customers. When the customers started requesting it regularly, the hotel decided to add it to the menu. Giving chef Seydoux the honor of naming the salad he is purported to have said Well, it's really a chef's salad.  The chef salad probably owes much of its popularity, according to Evan Jones in American Food The Gastronomic Story 1975, to Louis Diat, chef at the RitzCarlton. Cooking a la Ritz includes Diat's recipe Chef's salad. Place separately in a salad bowl equal amonts of chopped lettuce place on the bottom of the bowl, boiled chicken, smoked ox tongue and smoked ham, all cut in julienne style. Add 12 hardcooked egg for each portion. Place some watercress in the center and serve with French Dressing.  Diat did not invent the salad older recipes exist, but its inclusion on the menu at the RitzCarlton would have introduced the salad to more of the public. It's possible that the inclusion of Thousand Island dressing is also linked to the Ritz, since the hotel also introduced the dressing to New York. This recipe, while containing smoked ox tongue, still contains the primary chef salad ingredients meat, eggs, greens and presentation julienne sliced meat, and sliced eggs. Several other early chef salad recipes mention crumbling Roquefort cheese over the salad.";"Cucumber,Cucumber, with peel, raw,The Complete Book of Cheese,Tomato,Solanum lycopersicum,Red tomatoes, raw,Chicken,Chicken, broiler, meat and skin, cooked, stewed"
"Crab Louie";"http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Crab_Louie_Salad.jpg/200px-Crab_Louie_Salad.jpg";"Crab Louie salad, also known as Crab Louis Salad or the King of Salads, is a type of salad featuring crab meat. The original recipe dates back to the early 1900s and originates on the West Coast of America.";"Asparagus,Lettuce,Tomato,Solanum lycopersicum,Red tomatoes, raw,Louis dressing"
"Chicagostyle hot dog";"http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Chicago-style_hot_dog.jpg/200px-Chicago-style_hot_dog.jpg";"A Chicagostyle hot dog, or Chicago Dog, is an allbeef frankfurter on a poppy seed bun, originating from the city of Chicago, Illinois. The hot dog is topped with yellow mustard chopped white onions bright green sweet pickle relish a dill pickle spear tomato slices or wedges pickled sport peppers and a dash of celery salt. The complete assembly of a Chicago hot dog is said to be dragged through the garden due to the many toppings. The method for cooking the hot dog itself varies depending on the respective vendors preference. Most often they are steamed, watersimmered or grilled over charcoal, the latter of which are referred to as chardogs.  The canonical recipe does not include ketchup, and there is a widelyshared, strong opinion among many Chicagoans and aficionados that ketchup is unacceptable. A number of Chicago hot dog vendors do not offer ketchup as a condiment.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Peppers, hot chili, red, raw"
"Sinigang";"http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sinigang_na_Baboy.jpg/200px-Sinigang_na_Baboy.jpg";"Sinigang is a Filipino soup or stew characterized by its sour and savory flavor most often associated with tamarind sampalok. It is one of the popular viands in Philippine cuisine.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Tamarind,Tamarind, raw,Onion,Raw Onions"
"Chicken ṭikka masālā";"http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/CTM.jpg/200px-CTM.jpg";"Chicken ṭikka masālā is a dish of roasted chicken chunks in a spicy sauce. The sauce is usually creamy, spiced and orangecolored. Chicken tikka masala has been said to be the most popular dish in British restaurants and it has been called a true British national dish. The origin of the dish is unclear.";"Coconut palm,Cocos nucifera,Coconutinner edible solid part, raw,coconut water,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Yogurt,Yogurt, full fat,Chicken,Chicken, broiler, meat and skin, cooked, stewed,Onion,Raw Onions,Peppers, hot chili, red, raw"
"Cioppino";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Cioppino.jpg/200px-Cioppino.jpg";"Cioppino is a fish stew originating in San Francisco. It is considered an ItalianAmerican dish, and is related to various regional fish soups and stews of Italian cuisine. Cioppino is traditionally made from the catch of the day, which in the dish's place of origin is typically a combination of dungeness crab, clams, shrimp, scallops, squid, mussels and fish. The seafood is then combined with fresh tomatoes in a wine sauce, and served with toasted bread, either sourdough or baguette. The dish is comparable to cacciucco and brodetto from Italy, as well as other fish dishes from the Mediterranean region such as bouillabaisse, burrida, and bourride of the French Provence, suquet de peix from Catalan speaking regions of coastal Spain.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Red table wine,Scallop,Fish,Clam"
"Sopa de mondongo";"http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Modongo_soup.jpg/200px-Modongo_soup.jpg";"Sopa de mondongo is a soup made from diced tripe the stomach of a cow slowcooked with vegetables such as bell peppers, onions, carrots, cabbage, celery, tomatoes, cilantro, garlic or root vegetables. The dish is from Latin America and the Caribbean. Variations can also be found in Brazil, Venezuela, Puerto Rico, El Salvador.";"Coriander,Coriander  leaves, raw,Celery,Celery, raw,Garlic,Garlic, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,tripe, raw,Cabbage,Cabbage, raw,Carrot,Carrots, raw,Onion,Raw Onions"
"Harira";"http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Harira_oranaise.png/200px-Harira_oranaise.png";"Harira is the traditional soup of Maghreb. It is popular as a starter but is also eaten on its own as a light snack.";"Lentil,Lentils, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Chickpea,Chickpeas, mature seeds, cooked no salt,Olive oil,Chicken,Onion,Raw Onions"
"Tomato soup";"http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Basil_and_Organic_Tomato_Soup.jpg/200px-Basil_and_Organic_Tomato_Soup.jpg";"Tomato soup is a soup made with tomatoes as the primary ingredient. It may be served hot or cold, and can be made in many styles. It may be smooth in texture, and there are also recipes which include chunks or small pieces of tomato, cream and chickenvegetable stock. Popular toppings for tomato soup include sour cream or croutons. Tomato soup is one of the top comfort foods in Poland and the United States. It can be made fresh by blanching tomatoes, removing the skins, then blending into a puree. The first noted tomato soup was made by Maria Parloa in 1872, and Joseph A. Campbell's recipe for condensed tomato soup in 1897 further increased its popularity.";"Tomato,Solanum lycopersicum,Red tomatoes, raw"
"Cacciucco";"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Cacciucco.jpg/200px-Cacciucco.jpg";"Cacciucco is an Italian fish stew consisting of several different types of fish and shellfish cooked in wine, tomatoes, and chili peppers. Similar fish stews are popular around the Tyrrhenian Sea, but Cacciucco is specific to the port city of Livorno.";"Tomato,Solanum lycopersicum,Red tomatoes, raw,Red table wine,Peppers, hot chili, red, raw"
"Shrimp creole";"http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Shrimp_creole.jpg/200px-Shrimp_creole.jpg";"Shrimp creole is a dish of Louisiana Creole origin, consisting of cooked shrimp in a mixture of whole or diced tomatoes, the Holy trinity of onion, celery and bell pepper, spiced with Tabasco sauce or another hot pepper sauce andor cayennebased seasoning, and served over steamed or boiled white rice. The shrimp may be cooked in the mixture or cooked separately and added at the end. Other creole dishes may be made by substituting some other meat or seafood for the shrimp, or omitting the meat entirely. Creoletype dishes combine the qualities of a gumbo and a jambalaya. They are typically thicker and spicier than a gumbo, and the rice is prepared separately and used as a bed for the creole mixture, rather than cooked in the same pot as with a jambalaya. Creole dishes also do not contain broth or roux instead, the creole mixture is simmered to its desired degree of thickness. Apart from the foundation ingredients of onion, celery and bell pepper, creole dishes are freeform improvisational dishes, as the basic recipe may be altered to include whatever ingredients the cook has available.";"Celery,Celery, raw,Tomato,Solanum lycopersicum,Red tomatoes, raw,Peppers, sweet, green, raw,Onion,Raw Onions"
